
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 5.3246038e+03; maximum gradient component mag -2.6596e+02
 28 -0.01164  5.49127e-02 | 29 -0.01165  5.60482e-02 | 30 -0.01163  5.71704e-02
 31 -0.01159  5.82700e-02 | 32 -0.01152  5.93347e-02 | 33 -0.01142  6.03523e-02
 34 -0.01128  6.13112e-02 | 35 -0.01111  6.22008e-02 | 36 -0.01091  6.30125e-02
 37 -0.01067  6.37387e-02 | 38 -0.01038  6.43719e-02 | 39 -0.01006  6.49007e-02
 40 -0.00969  6.53063e-02 | 41 -0.00928  6.55676e-02 | 42 -0.00883  6.56556e-02
 43 -0.00834  6.55417e-02 | 44 -0.00781  6.52033e-02 | 45 -0.00726  6.46228e-02
 46 -0.00669  6.37822e-02 | 47 -0.00611  6.26615e-02 | 48 -0.00554  6.12360e-02
 49 -0.00498  5.94789e-02 | 50 -0.00444  5.73691e-02 | 51 -0.00394  5.48956e-02
 52 -0.00349  5.20487e-02 | 53 -0.00309  4.88023e-02 | 54 -0.00274  4.51029e-02
 55 -0.00244  4.08823e-02 | 56 -0.00217  3.60883e-02 | 57 -0.00192  3.07002e-02
