
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3782814e+03; maximum gradient component mag -3.1050e+02
 40 -0.01032 -5.90295e-02 | 41 -0.00995 -5.18212e-02 | 42 -0.00954 -4.47976e-02
 43 -0.00910 -3.82401e-02 | 44 -0.00863 -3.23999e-02 | 45 -0.00815 -2.74282e-02
 46 -0.00765 -2.32887e-02 | 47 -0.00714 -1.97031e-02 | 48 -0.00664 -1.61604e-02
 49 -0.00615 -1.19837e-02 | 50 -0.00568 -6.45476e-03 | 51 -0.00523  1.07241e-03
 52 -0.00482  1.10967e-02 | 53 -0.00445  2.39337e-02 | 54 -0.00412  3.96612e-02
 55 -0.00381  5.80812e-02 | 56 -0.00352  7.87160e-02 | 57 -0.00323  1.00826e-01
 58 -0.00291  1.23303e-01 | 59 -0.00254  1.44426e-01 | 60 -0.00211  1.61339e-01
 61 -0.00160  1.69358e-01 | 62 -0.00101  1.61132e-01 | 63 -0.00033  1.26441e-01
 64  0.00040  5.36364e-02 | 65  0.00119 -6.47709e-02 | 66  0.00208 -2.21670e-01
 67  0.00325 -3.78813e-01 | 68  0.00505 -4.58079e-01 | 69  0.00789 -3.68152e-01
 70  0.01181 -1.07964e-01 | 71  0.01565  6.19800e-02 | 72  0.01708 -3.30876e-01
 73  0.01674 -1.08446e+00 | 74  0.02119 -8.31955e-01 | 75  0.02654 -3.74323e-01
 76  0.03054 -1.14418e-01 | 77  0.03279 -6.58477e-02 | 78  0.03420 -3.26809e-02
 79  0.03483  4.66421e-03 | 80  0.03476  4.25903e-02 | 81  0.03399  6.39234e-02
 82  0.03312  1.65936e-01 | 83  0.03158  2.54618e-01 | 84  0.02821  1.24978e-01
 85  0.02709  5.74251e-01 | 86  0.02091  1.25097e-01 | 87  0.01352 -5.94094e-01
 88  0.00803 -1.02153e+00 | 89  0.00991  3.15749e-02 | 90  0.00902  2.65838e-01
 91  0.00692  4.72577e-02 | 92  0.00485 -2.49774e-01 | 93  0.00321 -5.03795e-01
 94  0.00266 -6.69926e-01 | 95  0.00328 -7.47102e-01 | 96  0.00322 -9.00326e-01
 97  0.00429 -1.13664e+00 | 98  0.00702 -1.20515e+00 | 99  0.01159 -1.18322e+00
100  0.01119 -1.36532e+00 |101  0.00901 -1.61086e+00 |102  0.00776 -1.51411e+00
103  0.00028 -1.28502e+00 |104  0.00263 -8.21688e-01 |105  0.02629 -6.52172e-02
106  0.01391 -2.53880e+00 |107 -0.00841 -2.04671e+00 |108  0.00582 -2.22272e+00
109  0.08879  2.56066e+00 |110  0.02245  4.47551e-01 |111 -0.01784  4.05910e-01
112  0.00184  1.07371e+00 |113  0.01634  1.63292e+00 |114  0.03641  3.14001e+00
115 -0.00013  3.18616e+00 |116 -0.06166  4.05012e+00 |117 -0.07640  4.87186e+00
118 -0.07676  3.35736e+00 |119 -0.03804  1.21014e+00 |120  0.06696  2.86863e+00
121  0.02328  1.87325e+00 |122  0.00854 -1.62412e+00 |123 -0.03073 -1.16604e+00
124 -0.07070 -1.88603e+00 |125 -0.01411 -3.91800e+00 |126  0.00167 -1.92474e+00
127 -0.02772 -3.59949e-01 |128  0.02488 -1.01292e+00 |129  0.07030 -3.05305e-01
130  0.01139  8.43213e-01 |131  0.07929  1.82406e-01 |132  0.00796  1.66988e+00
133  0.13199  1.26383e+00 |134  0.00140  3.60695e+00 |135 -0.04521  5.96492e-01
136 -0.05771 -2.96613e-01 |137 -0.02108  4.15979e-01 |138  0.09602  1.25666e+00
139  0.03189  2.03383e-01 |140  0.01188 -1.82231e+00 |141 -0.02738  2.74225e-01
142 -0.01763 -5.44623e-03 |143 -0.00521  1.47446e-01 |144 -0.00037  8.56373e-03
145  0.28331  4.19025e+00 |146  0.19292  3.83802e+00 |

Initial statistics: 176 variables; iteration 0; function evaluation 0; phase 3
Function value 7.3336812e+03; maximum gradient component mag -1.0886e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42372 -6.40724e-01 |  2  0.37105 -8.63775e+00 |  3 -0.12625 -4.74871e+00
  4 -0.01328 -5.59938e+00 |  5 -0.70914 -4.69078e-01 |  6 -0.60415 -2.39904e+00
  7  0.37616 -6.72318e+00 |  8 -0.18539 -7.73017e+00 |  9  0.03389 -6.28210e+00
 10 -0.60949 -2.75982e-01 | 11 -0.62346  1.51743e+00 | 12 -0.09486  3.95304e+00
 13 -0.00978 -8.53270e-02 | 14 -0.00999 -8.84473e-02 | 15 -0.01020 -9.14540e-02
 16 -0.01041 -9.43205e-02 | 17 -0.01061 -9.70228e-02 | 18 -0.01080 -9.95329e-02
 19 -0.01099 -1.01825e-01 | 20 -0.01116 -1.03875e-01 | 21 -0.01132 -1.05661e-01
 22 -0.01147 -1.07160e-01 | 23 -0.01161 -1.08352e-01 | 24 -0.01173 -1.09219e-01
 25 -0.01183 -1.09743e-01 | 26 -0.01192 -1.09911e-01 | 27 -0.01199 -1.09710e-01
 28 -0.01203 -1.09119e-01 | 29 -0.01205 -1.08109e-01 | 30 -0.01205 -1.06633e-01
 31 -0.01202 -1.04638e-01 | 32 -0.01197 -1.02071e-01 | 33 -0.01188 -9.88811e-02
 34 -0.01177 -9.50302e-02 | 35 -0.01162 -9.04970e-02 | 36 -0.01144 -8.52866e-02
 37 -0.01122 -7.94368e-02 | 38 -0.01096 -7.30226e-02 | 39 -0.01066 -6.61617e-02
 40 -0.01032 -5.90295e-02 | 41 -0.00995 -5.18212e-02 | 42 -0.00954 -4.47976e-02
 43 -0.00910 -3.82401e-02 | 44 -0.00863 -3.23999e-02 | 45 -0.00815 -2.74282e-02
 46 -0.00765 -2.32887e-02 | 47 -0.00714 -1.97031e-02 | 48 -0.00664 -1.61604e-02
 49 -0.00615 -1.19837e-02 | 50 -0.00568 -6.45476e-03 | 51 -0.00523  1.07241e-03
 52 -0.00482  1.10967e-02 | 53 -0.00445  2.39337e-02 | 54 -0.00412  3.96612e-02
