
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.2548272e+03; maximum gradient component mag 6.0819e+01
 19 -0.01201 -5.96892e-02 | 20 -0.01221 -6.39212e-02 | 21 -0.01241 -6.80180e-02
 22 -0.01260 -7.19532e-02 | 23 -0.01277 -7.56974e-02 | 24 -0.01292 -7.91840e-02
 25 -0.01306 -8.23915e-02 | 26 -0.01318 -8.52782e-02 | 27 -0.01329 -8.78109e-02
 28 -0.01337 -8.99442e-02 | 29 -0.01342 -9.16479e-02 | 30 -0.01345 -9.28618e-02
 31 -0.01345 -9.35458e-02 | 32 -0.01343 -9.36586e-02 | 33 -0.01338 -9.31511e-02
 34 -0.01329 -9.19910e-02 | 35 -0.01317 -9.01635e-02 | 36 -0.01301 -8.76340e-02
 37 -0.01282 -8.44099e-02 | 38 -0.01258 -8.04895e-02 | 39 -0.01231 -7.58896e-02
 40 -0.01199 -7.06354e-02 | 41 -0.01163 -6.47660e-02 | 42 -0.01123 -5.83555e-02
 43 -0.01079 -5.14694e-02 | 44 -0.01032 -4.42249e-02 | 45 -0.00983 -3.67467e-02
 46 -0.00932 -2.91380e-02 | 47 -0.00879 -2.15434e-02 | 48 -0.00827 -1.40619e-02
 49 -0.00776 -6.82252e-03 | 50 -0.00728  7.79086e-05 | 51 -0.00683  6.56068e-03
 52 -0.00643  1.25194e-02 | 53 -0.00607  1.79187e-02 | 54 -0.00576  2.27052e-02
 55 -0.00550  2.67026e-02 | 56 -0.00525  2.97058e-02 | 57 -0.00502  3.15860e-02
 58 -0.00476  3.20844e-02 | 59 -0.00447  3.09800e-02 | 60 -0.00410  2.82708e-02
 61 -0.00362  2.41187e-02 | 62 -0.00301  1.87015e-02 | 63 -0.00223  1.27704e-02
 64 -0.00123  7.21099e-03 | 65  0.00002  3.25532e-03 | 66  0.00155  2.25487e-03
 67  0.00340  5.40481e-03 | 68  0.00558  1.32059e-02 | 69  0.00810  2.46334e-02
 70  0.01094  3.64260e-02 | 71  0.01405  4.24011e-02 | 72  0.01733  3.37337e-02
 73  0.02062  2.69321e-03 | 74  0.02377 -5.30525e-02 | 75  0.02661 -1.25349e-01
 76  0.02905 -1.89177e-01 | 77  0.03104 -2.19533e-01 | 78  0.03251 -2.07743e-01
 79  0.03344 -1.55756e-01 | 80  0.03378 -8.57603e-02 | 81  0.03355 -1.04104e-02
 82  0.03268  5.11136e-02 | 83  0.03105  8.37627e-02 | 84  0.02849  7.32517e-02
 85  0.02499  2.03430e-02 | 86  0.02086 -4.77013e-02 | 87  0.01669 -9.38070e-02
 88  0.01306 -1.00671e-01 | 89  0.01032 -8.04330e-02 | 90  0.00851 -5.24390e-02
 91  0.00738 -2.79938e-02 | 92  0.00650 -1.16380e-02 | 93  0.00575 -5.96582e-03
 94  0.00559 -1.09396e-02 | 95  0.00616 -2.19491e-02 | 96  0.00629 -3.45608e-02
 97  0.00791 -4.47196e-02 | 98  0.01044 -5.64725e-02 | 99  0.01440 -6.77330e-02
100  0.01470 -3.78987e-02 |101  0.01365 -7.08419e-03 |102  0.01221  4.82754e-02
103  0.00434  1.46000e-01 |104  0.00486  1.39588e-01 |105  0.02304 -3.10936e-02
106  0.01974 -2.96881e-01 |107 -0.00517 -4.38091e-01 |108  0.01270 -3.38914e-01
109  0.07971 -3.15853e-01 |110  0.02755 -5.78194e-02 |111 -0.01505 -5.03827e-02
112  0.00501  2.38261e-01 |113  0.01929  2.71576e-01 |114  0.03952  1.96372e-01
115  0.00459 -5.01889e-01 |116 -0.06153 -9.70259e-01 |117 -0.07737 -6.42912e-01
118 -0.07322  9.77400e-01 |119 -0.02966  1.61933e+00 |120  0.07212  7.15826e-02
121  0.02293 -1.11489e+00 |122  0.01452 -1.33682e-01 |123 -0.02806  4.35674e-01
124 -0.06794  3.81193e-01 |125 -0.00882  2.76982e-01 |126  0.00201 -8.37892e-02
127 -0.02755  1.24418e-01 |128  0.02751 -1.89000e-01 |129  0.07376 -3.13286e-01
130  0.01206  3.44541e-02 |131  0.08632  6.51241e-02 |132  0.00780 -4.34445e-01
133  0.13719  9.08112e-02 |134 -0.00353  2.86315e-01 |135 -0.04783 -3.12004e-01
136 -0.05761  2.26548e-01 |137 -0.02226  2.47978e-01 |138  0.09332 -3.38142e-02
139  0.03141 -2.08406e-01 |140  0.01655 -1.35345e-01 |141 -0.02790  2.31125e-02
142 -0.01802 -1.32448e-01 |143 -0.00602 -3.50600e-02 |144 -0.00041 -2.83214e-03
145  0.28187 -9.87587e-03 |146  0.19214  7.07156e-02 |

Intermediate statistics: 146 variables; iteration 20; function evaluation 26; phase 2
Function value 7.2543912e+03; maximum gradient component mag 6.3413e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42618  1.14847e+01 |  2  0.37019 -4.48001e+01 |  3 -0.12521 -2.24672e+01
  4 -0.01318 -3.03451e+01 |  5 -0.70665 -5.06799e+00 |  6 -0.60673 -2.33024e+01
  7  0.37785  6.34125e+01 |  8 -0.18765  4.71819e+01 |  9  0.03549  3.85342e+01
 10 -0.60507 -5.19077e+00 | 11 -0.62620 -8.61685e+00 | 12 -0.09914  5.33836e+00
 13 -0.01056  7.94599e-03 | 14 -0.01079  6.37182e-03 | 15 -0.01102  4.77338e-03
 16 -0.01125  3.15660e-03 | 17 -0.01147  1.53569e-03 | 18 -0.01169 -5.71312e-05
 19 -0.01190 -1.60875e-03 | 20 -0.01210 -3.09811e-03 | 21 -0.01229 -4.49095e-03
 22 -0.01246 -5.76901e-03 | 23 -0.01263 -6.91240e-03 | 24 -0.01278 -7.87978e-03
 25 -0.01291 -8.65612e-03 | 26 -0.01303 -9.21550e-03 | 27 -0.01313 -9.53667e-03
