
Initial statistics: 135 variables; iteration 0; function evaluation 0; phase 1
Function value 6.1071593e+03; maximum gradient component mag -2.2413e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 91  0.00970 -2.69071e+00 | 92  0.00422 -3.82196e+00 | 93 -0.00525 -4.35115e+00
 94 -0.00201 -3.95067e+00 | 95  0.02069 -3.32616e+00 | 96  0.02480 -1.21569e+00
 97  0.00041  1.46662e-01 | 98  0.01915  1.21990e+00 | 99  0.09336  4.02297e+00
100  0.02542  9.42846e-01 |101 -0.01462  8.58093e-01 |102  0.00739  2.21768e+00
103  0.01640  1.58067e+00 |104  0.04403  5.43674e+00 |105  0.00128  3.44344e+00
106 -0.06069  3.81572e+00 |107 -0.07372  6.14852e+00 |108 -0.07299  6.28728e+00
109 -0.02825  7.19907e+00 |110  0.06276  4.26699e+00 |111  0.02999  8.80565e+00
112  0.01645  6.09207e+00 |113 -0.05037 -7.47227e+00 |114 -0.07723 -1.82383e+00
115 -0.01523  1.73637e-01 |116 -0.00607  1.55288e-01 |117 -0.03699 -7.33274e-01
118  0.01886 -1.63213e+00 |119  0.07488 -3.30655e+00 |120  0.01064 -4.49733e+00
121  0.10589 -1.54697e+00 |122  0.01867 -8.48607e-01 |123  0.16099  7.94855e-01
124  0.01349  1.13938e-01 |125 -0.02850  5.60484e-01 |126 -0.03874  6.25341e-01
127 -0.01648  3.25607e-01 |128  0.05628 -2.45001e+00 |129  0.00207  1.20480e+00
130 -0.00070 -2.75952e-02 |131 -0.00507 -5.89266e-02 |132 -0.00028 -3.64861e-03
133  0.00000  2.98410e-13 |134  0.25486 -9.97629e-01 |135  0.16982  4.83054e+00

Initial statistics: 145 variables; iteration 0; function evaluation 0; phase 2
Function value 6.0631257e+03; maximum gradient component mag -1.7363e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42308 -9.71176e+00 |  2  0.37053 -1.73633e+02 |  3 -0.12669  3.82856e+01
  4 -0.01167 -5.38891e+01 |  5 -0.70627  2.37479e+01 |  6 -0.60527  1.31133e+02
  7  0.37555 -1.09296e+02 |  8 -0.18500 -1.10932e+02 |  9  0.03518 -7.29525e+01
 10 -0.60813  1.79565e+01 | 11 -0.62427  1.42908e+02 | 12 -0.07623 -2.39456e+00
 13 -0.00879  1.13142e-01 | 14 -0.00896  1.18626e-01 | 15 -0.00913  1.24283e-01
 16 -0.00930  1.30104e-01 | 17 -0.00946  1.36091e-01 | 18 -0.00961  1.42226e-01
 19 -0.00976  1.48494e-01 | 20 -0.00990  1.54887e-01 | 21 -0.01002  1.61397e-01
 22 -0.01013  1.68019e-01 | 23 -0.01024  1.74754e-01 | 24 -0.01032  1.81605e-01
 25 -0.01039  1.88581e-01 | 26 -0.01045  1.95690e-01 | 27 -0.01048  2.02944e-01
 28 -0.01050  2.10353e-01 | 29 -0.01049  2.17930e-01 | 30 -0.01046  2.25700e-01
 31 -0.01041  2.33707e-01 | 32 -0.01033  2.42005e-01 | 33 -0.01023  2.50661e-01
 34 -0.01011  2.59751e-01 | 35 -0.00995  2.69359e-01 | 36 -0.00977  2.79571e-01
 37 -0.00956  2.90472e-01 | 38 -0.00932  3.02154e-01 | 39 -0.00905  3.14699e-01
 40 -0.00875  3.28131e-01 | 41 -0.00843  3.42590e-01 | 42 -0.00809  3.58062e-01
 43 -0.00773  3.74500e-01 | 44 -0.00736  3.91751e-01 | 45 -0.00700  4.09521e-01
 46 -0.00664  4.27365e-01 | 47 -0.00630  4.44734e-01 | 48 -0.00599  4.60968e-01
 49 -0.00572  4.75382e-01 | 50 -0.00550  4.87314e-01 | 51 -0.00534  4.96130e-01
 52 -0.00523  5.01222e-01 | 53 -0.00518  5.02141e-01 | 54 -0.00517  4.98548e-01
 55 -0.00519  4.90204e-01 | 56 -0.00521  4.76975e-01 | 57 -0.00522  4.58622e-01
 58 -0.00520  4.34546e-01 | 59 -0.00511  4.04055e-01 | 60 -0.00493  3.66248e-01
 61 -0.00465  3.20443e-01 | 62 -0.00423  2.66363e-01 | 63 -0.00365  2.05101e-01
 64 -0.00287  1.40009e-01 | 65 -0.00184  7.74357e-02 | 66 -0.00049  2.79194e-02
 67  0.00125  3.60966e-03 | 68  0.00342  1.37239e-02 | 69  0.00605  5.36798e-02
 70  0.00898  9.08128e-02 | 71  0.01191  5.96331e-02 | 72  0.01444 -1.12729e-01
 73  0.01635 -4.40080e-01 | 74  0.01799 -8.11567e-01 | 75  0.02018 -1.02516e+00
 76  0.02339 -9.66672e-01 | 77  0.02694 -7.49395e-01 | 78  0.02962 -5.83415e-01
 79  0.03082 -5.63094e-01 | 80  0.03068 -6.63725e-01 | 81  0.02946 -8.51196e-01
 82  0.02719 -1.12772e+00 | 83  0.02369 -1.52219e+00 | 84  0.01907 -2.00930e+00
 85  0.01438 -2.38560e+00 | 86  0.01094 -2.40897e+00 | 87  0.00848 -2.18315e+00
 88  0.00598 -2.02903e+00 | 89  0.00347 -2.04466e+00 | 90  0.00166 -2.11487e+00
 91  0.00082 -2.13071e+00 | 92  0.00073 -2.04288e+00 | 93  0.00120 -1.86027e+00
 94  0.00249 -1.62763e+00 | 95  0.00447 -1.40084e+00 | 96  0.00419 -1.57661e+00
 97  0.00535 -1.75522e+00 | 98  0.00907 -1.59066e+00 | 99  0.01365 -1.62404e+00
100  0.01286 -2.01185e+00 |101  0.00970 -2.69071e+00 |102  0.00422 -3.82196e+00
103 -0.00525 -4.35115e+00 |104 -0.00201 -3.95067e+00 |105  0.02069 -3.32616e+00
106  0.02480 -1.21569e+00 |107  0.00041  1.46662e-01 |108  0.01915  1.21990e+00
109  0.09336  4.02297e+00 |110  0.02542  9.42846e-01 |111 -0.01462  8.58093e-01
112  0.00739  2.21768e+00 |113  0.01640  1.58067e+00 |114  0.04403  5.43674e+00
115  0.00128  3.44344e+00 |116 -0.06069  3.81572e+00 |117 -0.07372  6.14852e+00
118 -0.07299  6.28728e+00 |119 -0.02825  7.19907e+00 |120  0.06276  4.26699e+00
121  0.02999  8.80565e+00 |122  0.01645  6.09207e+00 |123 -0.05037 -7.47227e+00
124 -0.07723 -1.82383e+00 |125 -0.01523  1.73637e-01 |126 -0.00607  1.55288e-01
127 -0.03699 -7.33274e-01 |128  0.01886 -1.63213e+00 |129  0.07488 -3.30655e+00
130  0.01064 -4.49733e+00 |131  0.10589 -1.54697e+00 |132  0.01867 -8.48607e-01
133  0.16099  7.94855e-01 |134  0.01349  1.13938e-01 |135 -0.02850  5.60484e-01
136 -0.03874  6.25341e-01 |137 -0.01648  3.25607e-01 |138  0.05628 -2.45001e+00
139  0.00207  1.20480e+00 |140 -0.00070 -2.75952e-02 |141 -0.00507 -5.89266e-02
142 -0.00028 -3.64861e-03 |143  0.00000  2.98410e-13 |144  0.25486 -9.97629e-01
145  0.16982  4.83054e+00 |

Intermediate statistics: 145 variables; iteration 20; function evaluation 25; phase 2
Function value 6.0621499e+03; maximum gradient component mag -1.4396e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42324 -1.25466e+01 |  2  0.37058 -1.43959e+02 |  3 -0.12789  2.08666e+01
  4 -0.00975 -4.70648e+01 |  5 -0.71980  1.20881e+01 |  6 -0.60617  7.69931e+01
  7  0.37409 -1.23496e+02 |  8 -0.18574 -1.34586e+02 |  9  0.03760 -8.87200e+01
 10 -0.61640  7.92477e+00 | 11 -0.62633  6.61001e+01 | 12 -0.08868 -2.83636e+01
 13 -0.00876  6.20864e-02 | 14 -0.00894  6.44508e-02 | 15 -0.00912  6.68710e-02
 16 -0.00929  6.93413e-02 | 17 -0.00945  7.18586e-02 | 18 -0.00961  7.44134e-02
 19 -0.00976  7.69976e-02 | 20 -0.00991  7.96043e-02 | 21 -0.01004  8.22270e-02
 22 -0.01016  8.48607e-02 | 23 -0.01026  8.75015e-02 | 24 -0.01036  9.01475e-02
 25 -0.01043  9.27981e-02 | 26 -0.01049  9.54534e-02 | 27 -0.01053  9.81134e-02
 28 -0.01056  1.00777e-01 | 29 -0.01056  1.03446e-01 | 30 -0.01053  1.06126e-01
 31 -0.01049  1.08833e-01 | 32 -0.01042  1.11587e-01 | 33 -0.01033  1.14414e-01
 34 -0.01021  1.17346e-01 | 35 -0.01007  1.20411e-01 | 36 -0.00990  1.23643e-01
 37 -0.00970  1.27068e-01 | 38 -0.00947  1.30719e-01 | 39 -0.00922  1.34621e-01
 40 -0.00894  1.38785e-01 | 41 -0.00864  1.43260e-01 | 42 -0.00832  1.48046e-01
 43 -0.00799  1.53128e-01 | 44 -0.00765  1.58450e-01 | 45 -0.00731  1.63902e-01
 46 -0.00699  1.69318e-01 | 47 -0.00668  1.74492e-01 | 48 -0.00640  1.79182e-01
 49 -0.00616  1.83134e-01 | 50 -0.00596  1.86097e-01 | 51 -0.00581  1.87821e-01
