
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3259025e+03; maximum gradient component mag -2.6141e+02
136 -0.05603  3.74448e-01 |137 -0.02177  5.14689e-02 |138  0.09084 -1.25550e+00
139  0.03618  1.64293e+00 |140  0.01815  6.27866e-01 |141 -0.02893 -3.00717e-01
142 -0.01861 -2.76217e-01 |143 -0.00521  1.85221e-01 |144 -0.00039  2.96229e-03
145  0.28284  3.98594e+00 |146  0.19247  3.30216e+00 |

Intermediate statistics: 146 variables; iteration 20; function evaluation 26; phase 2
Function value 7.2819869e+03; maximum gradient component mag 2.0788e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42243 -2.33094e+00 |  2  0.37086  1.48352e+01 |  3 -0.12604  1.22223e+01
  4 -0.01255  1.23665e+01 |  5 -0.70591  7.40030e-01 |  6 -0.60438  1.22815e+01
  7  0.37784  2.07879e+01 |  8 -0.18521  5.01128e+00 |  9  0.03221  1.12864e+01
 10 -0.61043 -5.24827e-01 | 11 -0.62293 -9.15125e-01 | 12 -0.09423 -2.23507e+00
 13 -0.01001  3.07386e-03 | 14 -0.01024  2.70111e-03 | 15 -0.01045  2.35886e-03
 16 -0.01067  2.06004e-03 | 17 -0.01087  1.81800e-03 | 18 -0.01108  1.64869e-03
 19 -0.01127  1.56857e-03 | 20 -0.01146  1.59457e-03 | 21 -0.01163  1.74423e-03
 22 -0.01180  2.03522e-03 | 23 -0.01195  2.48504e-03 | 24 -0.01208  3.11075e-03
 25 -0.01220  3.92876e-03 | 26 -0.01231  4.95395e-03 | 27 -0.01239  6.19897e-03
 28 -0.01245  7.67335e-03 | 29 -0.01249  9.38367e-03 | 30 -0.01251  1.13355e-02
 31 -0.01250  1.35341e-02 | 32 -0.01247  1.59826e-02 | 33 -0.01240  1.86791e-02
 34 -0.01231  2.16133e-02 | 35 -0.01219  2.47624e-02 | 36 -0.01203  2.80881e-02
 37 -0.01184  3.15336e-02 | 38 -0.01160  3.50247e-02 | 39 -0.01134  3.84723e-02
 40 -0.01103  4.17678e-02 | 41 -0.01068  4.48201e-02 | 42 -0.01030  4.75199e-02
 43 -0.00989  4.97667e-02 | 44 -0.00945  5.14756e-02 | 45 -0.00898  5.25825e-02
 46 -0.00850  5.30578e-02 | 47 -0.00802  5.29115e-02 | 48 -0.00754  5.21791e-02
 49 -0.00707  5.09096e-02 | 50 -0.00663  4.91416e-02 | 51 -0.00623  4.68806e-02
 52 -0.00587  4.40889e-02 | 53 -0.00556  4.07010e-02 | 54 -0.00529  3.66174e-02
 55 -0.00507  3.17172e-02 | 56 -0.00487  2.58787e-02 | 57 -0.00468  1.89841e-02
 58 -0.00447  1.09106e-02 | 59 -0.00421  1.52304e-03 | 60 -0.00389 -9.39643e-03
 61 -0.00346 -2.22280e-02 | 62 -0.00290 -3.76068e-02 | 63 -0.00217 -5.64075e-02
 64 -0.00125 -7.94650e-02 | 65 -0.00011 -1.06729e-01 | 66  0.00129 -1.35929e-01
 67  0.00300 -1.61018e-01 | 68  0.00507 -1.73048e-01 | 69  0.00754 -1.66991e-01
 70  0.01035 -1.54195e-01 | 71  0.01334 -1.63854e-01 | 72  0.01642 -2.03008e-01
 73  0.01977 -2.06864e-01 | 74  0.02352 -1.26882e-01 | 75  0.02687 -8.55178e-02
 76  0.02929 -1.40335e-01 | 77  0.03135 -1.42285e-01 | 78  0.03288 -1.04680e-01
 79  0.03355 -8.08519e-02 | 80  0.03346 -6.72860e-02 | 81  0.03277 -5.63058e-02
 82  0.03153 -4.45305e-02 | 83  0.02978 -1.92837e-02 | 84  0.02738  1.16263e-02
 85  0.02373 -6.11485e-02 | 86  0.02013 -1.56188e-02 | 87  0.01709  1.86314e-01
 88  0.01278  3.94763e-02 | 89  0.00954 -4.91712e-02 | 90  0.00769 -3.11679e-02
 91  0.00664  1.03794e-02 | 92  0.00584  3.90451e-02 | 93  0.00510  4.61550e-02
 94  0.00487  2.77136e-02 | 95  0.00522 -2.14034e-02 | 96  0.00545  1.56923e-02
 97  0.00697  4.92852e-02 | 98  0.00851 -7.24805e-02 | 99  0.01116 -1.94935e-01
100  0.01093 -8.75525e-02 |101  0.00969  7.46026e-02 |102  0.00774  3.48634e-02
103  0.00173  2.23062e-01 |104  0.00537  3.15058e-01 |105  0.02709 -4.08598e-01
106  0.02950 -6.21779e-01 |107  0.00440 -2.68934e-01 |108  0.01694 -3.22219e-01
109  0.07042 -2.13936e-01 |110  0.02581 -9.15939e-01 |111 -0.00961  8.14406e-02
112  0.00879  2.92341e-02 |113  0.02368 -6.94178e-01 |114  0.03609 -7.11890e-01
115 -0.01018 -6.75981e-01 |116 -0.05738 -2.11579e-01 |117 -0.08123 -1.55919e-01
118 -0.07477  5.69726e-02 |119 -0.03607 -6.78031e-01 |120  0.06948 -7.97170e-02
121  0.02251 -1.19945e-01 |122  0.01316  5.69370e-01 |123 -0.02784  7.80270e-01
124 -0.06841  2.11292e-01 |125 -0.00750  5.96889e-01 |126  0.00370  2.28685e-01
127 -0.02704  5.19357e-01 |128  0.02655  9.25908e-02 |129  0.07266 -2.15686e-01
130  0.00960  1.60221e-01 |131  0.08175 -4.31099e-01 |132  0.00562 -4.26968e-02
133  0.13240  1.26391e-02 |134 -0.00555  4.15782e-01 |135 -0.04708 -1.61434e-02
136 -0.05681  2.56134e-01 |137 -0.02189  1.68120e-02 |138  0.09321 -5.43427e-01
139  0.03332  7.39398e-01 |140  0.01721  2.70891e-01 |141 -0.02852 -7.78304e-02
142 -0.01819 -5.18407e-02 |143 -0.00574  9.83213e-02 |144 -0.00040  1.40061e-03
145  0.27901 -6.51693e-01 |146  0.18927 -7.88424e-01 |

 - final statistics:
146 variables; iteration 28; function evaluation 35
Function value 7.2820e+03; maximum gradient component mag 9.9057e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42235 -1.02367e+00 |  2  0.37083  7.04789e+00 |  3 -0.12609  5.84950e+00
  4 -0.01260  5.90582e+00 |  5 -0.70519  4.94216e-01 |  6 -0.60462  5.83610e+00
  7  0.37769  9.90565e+00 |  8 -0.18513  2.41102e+00 |  9  0.03210  5.39861e+00
 10 -0.61005 -1.41487e-01 | 11 -0.62293 -4.25437e-01 | 12 -0.09366 -1.11466e+00
 13 -0.01007 -2.65579e-02 | 14 -0.01029 -2.76546e-02 | 15 -0.01051 -2.87371e-02
 16 -0.01072 -2.97955e-02 | 17 -0.01093 -3.08201e-02 | 18 -0.01114 -3.17985e-02
 19 -0.01133 -3.27188e-02 | 20 -0.01152 -3.35693e-02 | 21 -0.01170 -3.43383e-02
 22 -0.01186 -3.50144e-02 | 23 -0.01201 -3.55867e-02 | 24 -0.01215 -3.60451e-02
 25 -0.01228 -3.63796e-02 | 26 -0.01238 -3.65808e-02 | 27 -0.01247 -3.66396e-02
