
Initial statistics: 134 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3057088e+03; maximum gradient component mag -1.3091e+02
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
 70  0.03571  2.77265e-01 | 71  0.03512  2.79488e-01 | 72  0.03379  2.56844e-01
 73  0.03171  2.16511e-01 | 74  0.02886  1.72662e-01 | 75  0.02530  1.48600e-01
 76  0.02137  1.78694e-01 | 77  0.01763  3.06257e-01 | 78  0.01437  4.87001e-01
 79  0.01146  5.83300e-01 | 80  0.00894  5.29527e-01 | 81  0.00699  3.69701e-01
 82  0.00572  1.78776e-01 | 83  0.00516  1.42940e-02 | 84  0.00542 -9.50968e-02
 85  0.00662 -1.54361e-01 | 86  0.00859 -2.02912e-01 | 87  0.01064 -2.81157e-01
 88  0.01191 -3.77552e-01 | 89  0.01223 -4.55691e-01 | 90  0.01234 -5.26809e-01
 91  0.01307 -5.91816e-01 | 92  0.01494 -5.67770e-01 | 93  0.01816 -5.31313e-01
 94  0.01875 -1.54826e+00 | 95  0.01289 -3.94425e+00 | 96  0.01279 -4.61510e+00
 97  0.02089 -3.55358e+00 | 98  0.00939 -6.66663e+00 | 99  0.02126 -5.52532e+00
100  0.01571 -6.07473e+00 |101  0.01949 -4.99201e+00 |102  0.01744 -4.69152e+00
103  0.02032 -2.52031e+00 |104  0.01721 -1.96455e+00 |105 -0.00710  1.46230e-01
106 -0.05942 -1.20261e+00 |107 -0.07354 -5.59719e-01 |108 -0.07004 -2.56036e-01
109 -0.04572  1.43529e-01 |110  0.05560  7.68518e-01 |111  0.01240  1.92111e+00
112  0.01282  1.79067e+00 |113 -0.03072  2.19627e+00 |114 -0.06967  1.62606e+00
115 -0.01302  1.18137e+00 |116 -0.00402  1.53624e-01 |117 -0.03514 -2.88443e-01
118  0.02325  1.39718e+00 |119  0.06441  1.86754e+00 |120  0.01588  4.63135e+00
121  0.07430  6.20856e-01 |122  0.00298  4.33354e-01 |123  0.12830  9.09466e-01
124 -0.00841 -1.29639e-01 |125 -0.04895 -2.34555e-01 |126 -0.06063 -8.87223e-01
127 -0.02336 -6.93552e-03 |128  0.09431  1.21710e+00 |129  0.03109  3.31710e-01
130  0.01493 -3.18327e-01 |131 -0.02772  2.65559e-01 |132 -0.01548  6.90606e-01
133 -0.00530  1.55322e-01 |134 -0.00038  9.72688e-03 |

Initial statistics: 144 variables; iteration 0; function evaluation 0; phase 2
Function value 7.2674132e+03; maximum gradient component mag -2.7108e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42200 -4.07559e+00 |  2  0.37110 -4.16741e+00 |  3 -0.12614 -2.71081e+01
  4 -0.01321 -8.33187e+00 |  5 -0.70915 -1.82949e+00 |  6 -0.60419  3.46337e+00
  7  0.37628  2.04708e+01 |  8 -0.18524  2.01093e+01 |  9  0.03399  2.35567e+01
 10 -0.60948  3.07236e+00 | 11 -0.62338 -7.66276e-01 | 12 -0.11339 -4.61697e+00
 13 -0.00974  8.65575e-02 | 14 -0.00996  8.65734e-02 | 15 -0.01018  8.65092e-02
 16 -0.01039  8.63804e-02 | 17 -0.01060  8.62315e-02 | 18 -0.01081  8.60749e-02
 19 -0.01100  8.59406e-02 | 20 -0.01119  8.58768e-02 | 21 -0.01137  8.59406e-02
 22 -0.01154  8.62015e-02 | 23 -0.01169  8.67390e-02 | 24 -0.01183  8.76402e-02
 25 -0.01196  8.89910e-02 | 26 -0.01206  9.08660e-02 | 27 -0.01215  9.33269e-02
 28 -0.01221  9.64376e-02 | 29 -0.01225  1.00296e-01 | 30 -0.01226  1.05043e-01
 31 -0.01225  1.10870e-01 | 32 -0.01221  1.17950e-01 | 33 -0.01213  1.26440e-01
 34 -0.01203  1.36460e-01 | 35 -0.01189  1.48074e-01 | 36 -0.01171  1.61287e-01
 37 -0.01149  1.76048e-01 | 38 -0.01123  1.92283e-01 | 39 -0.01092  2.09891e-01
 40 -0.01058  2.28612e-01 | 41 -0.01019  2.48527e-01 | 42 -0.00977  2.69345e-01
 43 -0.00931  2.90755e-01 | 44 -0.00882  3.12374e-01 | 45 -0.00831  3.33719e-01
 46 -0.00778  3.54288e-01 | 47 -0.00725  3.73653e-01 | 48 -0.00673  3.91378e-01
 49 -0.00624  4.07098e-01 | 50 -0.00577  4.20468e-01 | 51 -0.00535  4.31122e-01
 52 -0.00499  4.38672e-01 | 53 -0.00469  4.42953e-01 | 54 -0.00444  4.43763e-01
