
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.2873100e+03; maximum gradient component mag -1.1507e+01
 55 -0.00527 -4.15418e-02 | 56 -0.00506 -4.11485e-02 | 57 -0.00484 -4.07457e-02
 58 -0.00461 -4.03721e-02 | 59 -0.00433 -4.00878e-02 | 60 -0.00397 -3.99020e-02
 61 -0.00351 -3.98361e-02 | 62 -0.00290 -3.99929e-02 | 63 -0.00212 -4.03686e-02
 64 -0.00112 -4.10482e-02 | 65  0.00011 -4.20823e-02 | 66  0.00162 -4.35864e-02
 67  0.00342 -4.56416e-02 | 68  0.00553 -4.83259e-02 | 69  0.00797 -5.17965e-02
 70  0.01071 -5.62084e-02 | 71  0.01374 -6.16818e-02 | 72  0.01699 -6.82992e-02
 73  0.02037 -7.61811e-02 | 74  0.02373 -8.53879e-02 | 75  0.02687 -9.59390e-02
 76  0.02959 -1.07920e-01 | 77  0.03167 -1.21276e-01 | 78  0.03301 -1.35834e-01
 79  0.03358 -1.51515e-01 | 80  0.03345 -1.68179e-01 | 81  0.03272 -1.85833e-01
 82  0.03145 -2.04297e-01 | 83  0.02960 -2.23260e-01 | 84  0.02706 -2.42178e-01
 85  0.02381 -2.60480e-01 | 86  0.02000 -2.77865e-01 | 87  0.01603 -2.94605e-01
 88  0.01241 -3.11576e-01 | 89  0.00956 -3.29827e-01 | 90  0.00762 -3.49604e-01
 91  0.00639 -3.70287e-01 | 92  0.00546 -3.90204e-01 | 93  0.00470 -4.08093e-01
 94  0.00459 -4.24233e-01 | 95  0.00524 -4.37372e-01 | 96  0.00547 -4.41170e-01
 97  0.00715 -4.39327e-01 | 98  0.00972 -4.26237e-01 | 99  0.01368 -3.98181e-01
100  0.01378 -3.33983e-01 |101  0.01252 -2.36598e-01 |102  0.01081 -1.04879e-01
103  0.00275  6.06206e-02 |104  0.00359  2.64618e-01 |105  0.02291  5.96247e-01
106  0.02135  9.17987e-01 |107 -0.00273  1.05733e+00 |108  0.01569  1.57121e+00
109  0.08358  3.19381e+00 |110  0.02809  2.35507e+00 |111 -0.01461  1.78346e+00
112  0.00420  2.00825e+00 |113  0.01928  1.97043e+00 |114  0.03859  1.70259e+00
115  0.00282  7.00240e-01 |116 -0.06247  5.29040e-02 |117 -0.07891 -2.10882e-01
118 -0.07727 -3.41480e-01 |119 -0.03453 -5.02883e-01 |120  0.06981 -1.07805e+00
121  0.02368 -8.27953e-01 |122  0.01382 -1.00641e+00 |123 -0.02791 -8.94453e-01
124 -0.06711 -7.38058e-01 |125 -0.00646 -1.23882e+00 |126  0.00464 -1.21099e+00
127 -0.02727 -6.53214e-01 |128  0.02820 -4.52918e-01 |129  0.07345 -4.60227e-02
130  0.01038  9.86457e-02 |131  0.08254  1.08815e-01 |132  0.00575 -3.23265e-03
133  0.13288 -8.03792e-02 |134 -0.00532 -1.62926e-02 |135 -0.04646  1.32827e-03
136 -0.05671  4.73104e-03 |137 -0.02192  6.55567e-03 |138  0.09420  1.53895e-02
139  0.03190  8.47449e-03 |140  0.01685  6.86280e-03 |141 -0.02798  3.01390e-03
142 -0.01758  1.47538e-03 |143 -0.00588  2.28538e-04 |144 -0.00040  5.06275e-05
145  0.27670 -5.64754e-01 |146  0.18753 -4.08644e-01 |

Intermediate statistics: 146 variables; iteration 20; function evaluation 23; phase 2
Function value 7.2872008e+03; maximum gradient component mag 5.4560e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42238  8.15328e+00 |  2  0.36959  1.92097e+01 |  3 -0.12831  5.45603e+01
  4 -0.00859  3.44158e+01 |  5 -0.70384  2.73438e+00 |  6 -0.60568  4.11052e+01
  7  0.37613 -3.02689e+01 |  8 -0.18566 -3.58156e+01 |  9  0.03380 -2.56294e+01
 10 -0.60649  3.36609e-01 | 11 -0.62388  1.28139e+01 | 12 -0.09079 -8.87311e-01
 13 -0.01011 -2.59491e-02 | 14 -0.01033 -2.66851e-02 | 15 -0.01055 -2.74386e-02
 16 -0.01076 -2.82107e-02 | 17 -0.01097 -2.90027e-02 | 18 -0.01118 -2.98141e-02
 19 -0.01138 -3.06468e-02 | 20 -0.01156 -3.15018e-02 | 21 -0.01174 -3.23794e-02
 22 -0.01191 -3.32811e-02 | 23 -0.01207 -3.42076e-02 | 24 -0.01221 -3.51573e-02
 25 -0.01233 -3.61303e-02 | 26 -0.01244 -3.71253e-02 | 27 -0.01253 -3.81429e-02
 28 -0.01261 -3.91860e-02 | 29 -0.01265 -4.02602e-02 | 30 -0.01268 -4.13678e-02
 31 -0.01268 -4.25095e-02 | 32 -0.01266 -4.36824e-02 | 33 -0.01261 -4.48816e-02
 34 -0.01253 -4.61018e-02 | 35 -0.01242 -4.73396e-02 | 36 -0.01228 -4.85924e-02
 37 -0.01210 -4.98630e-02 | 38 -0.01189 -5.11565e-02 | 39 -0.01163 -5.24799e-02
 40 -0.01134 -5.38351e-02 | 41 -0.01101 -5.52312e-02 | 42 -0.01064 -5.66653e-02
 43 -0.01024 -5.81325e-02 | 44 -0.00981 -5.96289e-02 | 45 -0.00935 -6.11490e-02
 46 -0.00888 -6.26852e-02 | 47 -0.00840 -6.42301e-02 | 48 -0.00792 -6.57681e-02
 49 -0.00745 -6.72801e-02 | 50 -0.00701 -6.87447e-02 | 51 -0.00661 -7.01453e-02
 52 -0.00625 -7.14765e-02 | 53 -0.00593 -7.27504e-02 | 54 -0.00566 -7.39826e-02
 55 -0.00543 -7.51844e-02 | 56 -0.00522 -7.63662e-02 | 57 -0.00501 -7.75394e-02
 58 -0.00478 -7.87151e-02 | 59 -0.00450 -7.99221e-02 | 60 -0.00415 -8.11834e-02
 61 -0.00368 -8.25331e-02 | 62 -0.00308 -8.39973e-02 | 63 -0.00230 -8.56085e-02
 64 -0.00131 -8.74102e-02 | 65 -0.00008 -8.94198e-02 | 66  0.00143 -9.17459e-02
 67  0.00322 -9.44088e-02 | 68  0.00533 -9.74424e-02 | 69  0.00776 -1.00903e-01
 70  0.01050 -1.04817e-01 | 71  0.01352 -1.09212e-01 | 72  0.01677 -1.14079e-01
 73  0.02013 -1.19393e-01 | 74  0.02348 -1.25084e-01 | 75  0.02661 -1.30999e-01
 76  0.02931 -1.36858e-01 | 77  0.03139 -1.42358e-01 | 78  0.03271 -1.47225e-01
 79  0.03327 -1.51245e-01 | 80  0.03313 -1.54359e-01 | 81  0.03239 -1.56466e-01
 82  0.03112 -1.57414e-01 | 83  0.02927 -1.56905e-01 | 84  0.02674 -1.54623e-01
 85  0.02350 -1.50442e-01 | 86  0.01970 -1.44541e-01 | 87  0.01574 -1.37387e-01
 88  0.01214 -1.29448e-01 | 89  0.00930 -1.21001e-01 | 90  0.00738 -1.11772e-01
 91  0.00617 -1.01014e-01 | 92  0.00527 -8.75704e-02 | 93  0.00454 -7.04266e-02
 94  0.00446 -4.99380e-02 | 95  0.00514 -2.50046e-02 | 96  0.00542  8.39352e-03
 97  0.00710  4.35088e-02 | 98  0.00970  8.34672e-02 | 99  0.01371  1.28656e-01
100  0.01393  1.90203e-01 |101  0.01270  2.51445e-01 |102  0.01100  3.12508e-01
103  0.00301  3.56872e-01 |104  0.00384  4.00176e-01 |105  0.02310  5.06834e-01
106  0.02149  5.78173e-01 |107 -0.00255  5.39714e-01 |108  0.01566  6.28083e-01
109  0.08311  8.62670e-01 |110  0.02850  5.65811e-01 |111 -0.01467  2.57119e-01
112  0.00380  1.06027e-01 |113  0.01921 -2.60686e-02 |114  0.03864 -1.26867e-01
115  0.00334 -2.22222e-01 |116 -0.06193 -1.49792e-01 |117 -0.07845 -1.35331e-01
118 -0.07710 -2.52573e-01 |119 -0.03531 -2.43201e-01 |120  0.07113  1.87730e-01
121  0.02462  4.29841e-01 |122  0.01470  2.19474e-01 |123 -0.02695  1.60745e-01
124 -0.06637  8.54615e-02 |125 -0.00579  1.15640e-01 |126  0.00615  3.61221e-01
127 -0.02659  1.26527e-01 |128  0.02832  3.86480e-02 |129  0.07411  1.31065e-01
130  0.00950 -2.47349e-01 |131  0.08365  2.75615e-01 |132  0.00610  2.14110e-01
133  0.13356  1.16319e-01 |134 -0.00498 -1.23331e-01 |135 -0.04637 -9.12426e-02
136 -0.05696 -8.46541e-02 |137 -0.02199  6.03779e-02 |138  0.09511  2.00774e-01
139  0.03165 -1.46312e-01 |140  0.01691 -8.09559e-04 |141 -0.02846 -5.21295e-02
142 -0.01769 -8.88657e-03 |143 -0.00580 -8.18788e-02 |144 -0.00040 -3.96842e-04
145  0.27384 -1.19159e+00 |146  0.18538  1.07273e+00 |

 - final statistics:
146 variables; iteration 32; function evaluation 38
Function value 7.2871e+03; maximum gradient component mag 3.1191e+00
Exit code = 1;  converg criter 1.0000e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42237  4.82916e-01 |  2  0.36981  1.13897e+00 |  3 -0.12907  3.11911e+00
  4 -0.00874  2.03189e+00 |  5 -0.70226 -2.40496e-02 |  6 -0.60685  2.31430e+00
  7  0.37647 -1.79315e+00 |  8 -0.18533 -2.08418e+00 |  9  0.03381 -1.69712e+00
 10 -0.60539  5.76741e-01 | 11 -0.62439  6.76160e-01 | 12 -0.09126 -1.59196e-02
 13 -0.01005  2.24220e-02 | 14 -0.01027  2.28503e-02 | 15 -0.01049  2.32721e-02
 16 -0.01070  2.36949e-02 | 17 -0.01091  2.41189e-02 | 18 -0.01112  2.45337e-02
 19 -0.01131  2.49483e-02 | 20 -0.01150  2.53660e-02 | 21 -0.01168  2.57786e-02
 22 -0.01185  2.61951e-02 | 23 -0.01200  2.66245e-02 | 24 -0.01214  2.70522e-02
 25 -0.01227  2.74890e-02 | 26 -0.01238  2.79301e-02 | 27 -0.01247  2.83735e-02
 28 -0.01254  2.88123e-02 | 29 -0.01259  2.92591e-02 | 30 -0.01261  2.97153e-02
 31 -0.01262  3.01926e-02 | 32 -0.01259  3.06977e-02 | 33 -0.01254  3.12257e-02
 34 -0.01246  3.17742e-02 | 35 -0.01236  3.23426e-02 | 36 -0.01221  3.29094e-02
 37 -0.01204  3.34741e-02 | 38 -0.01182  3.40282e-02 | 39 -0.01157  3.45742e-02
 40 -0.01127  3.51165e-02 | 41 -0.01094  3.56582e-02 | 42 -0.01058  3.62081e-02
 43 -0.01018  3.67526e-02 | 44 -0.00974  3.72906e-02 | 45 -0.00929  3.78188e-02
 46 -0.00882  3.83263e-02 | 47 -0.00834  3.88221e-02 | 48 -0.00786  3.92949e-02
 49 -0.00739  3.97345e-02 | 50 -0.00695  4.01020e-02 | 51 -0.00655  4.03425e-02
 52 -0.00619  4.04152e-02 | 53 -0.00587  4.02853e-02 | 54 -0.00560  3.99385e-02
 55 -0.00537  3.93813e-02 | 56 -0.00516  3.85986e-02 | 57 -0.00495  3.75323e-02
 58 -0.00473  3.61453e-02 | 59 -0.00445  3.44074e-02 | 60 -0.00410  3.22520e-02
 61 -0.00364  2.96134e-02 | 62 -0.00303  2.64504e-02 | 63 -0.00225  2.26546e-02
 64 -0.00127  1.81352e-02 | 65 -0.00004  1.27619e-02 | 66  0.00145  6.40052e-03
 67  0.00324 -1.11288e-03 | 68  0.00533 -9.90691e-03 | 69  0.00774 -2.00380e-02
 70  0.01046 -3.13887e-02 | 71  0.01346 -4.35138e-02 | 72  0.01669 -5.56287e-02
 73  0.02004 -6.69543e-02 | 74  0.02338 -7.73434e-02 | 75  0.02650 -8.78344e-02
 76  0.02919 -9.92301e-02 | 77  0.03125 -1.11404e-01 | 78  0.03255 -1.23937e-01
 79  0.03308 -1.35168e-01 | 80  0.03291 -1.45090e-01 | 81  0.03217 -1.51758e-01
 82  0.03090 -1.54248e-01 | 83  0.02906 -1.51370e-01 | 84  0.02656 -1.44042e-01
 85  0.02334 -1.34888e-01 | 86  0.01956 -1.25467e-01 | 87  0.01562 -1.14318e-01
 88  0.01204 -9.90475e-02 | 89  0.00925 -7.92691e-02 | 90  0.00737 -5.62165e-02
 91  0.00621 -3.15232e-02 | 92  0.00535 -6.53217e-03 | 93  0.00466  1.83227e-02
 94  0.00462  4.46244e-02 | 95  0.00533  7.11948e-02 | 96  0.00561  8.88328e-02
 97  0.00735  1.18603e-01 | 98  0.01002  1.45009e-01 | 99  0.01404  1.54913e-01
100  0.01423  1.50622e-01 |101  0.01295  1.23293e-01 |102  0.01116  7.64572e-02
103  0.00291 -1.69933e-02 |104  0.00358 -9.97462e-02 |105  0.02259 -2.06621e-01
106  0.02096 -2.32343e-01 |107 -0.00288 -1.47264e-01 |108  0.01579 -2.36437e-02
109  0.08232 -1.88831e-01 |110  0.02910  2.29030e-01 |111 -0.01455  1.50579e-01
112  0.00341  4.97575e-02 |113  0.01953  2.79146e-01 |114  0.03874  1.08599e-01
115  0.00329 -2.24345e-01 |116 -0.06291 -6.53459e-01 |117 -0.07902 -4.61215e-01
118 -0.07692 -4.08939e-02 |119 -0.03449  2.93708e-01 |120  0.07092  5.04876e-02
121  0.02450 -1.19993e-02 |122  0.01419 -1.93591e-01 |123 -0.02662  2.07707e-01
124 -0.06636  3.06375e-02 |125 -0.00634 -2.74550e-01 |126  0.00571 -1.38443e-01
127 -0.02733 -1.69957e-01 |128  0.02876  2.72014e-01 |129  0.07367  5.74664e-02
130  0.00987  1.37486e-01 |131  0.08315 -1.88559e-01 |132  0.00584 -8.06670e-02
133  0.13345  3.66583e-02 |134 -0.00497  8.88413e-02 |135 -0.04657 -8.44459e-02
136 -0.05690  2.64011e-02 |137 -0.02221 -4.15436e-02 |138  0.09529  2.39654e-01
139  0.03233  2.36899e-01 |140  0.01598 -3.36171e-01 |141 -0.02840  1.75520e-02
142 -0.01752  6.65554e-02 |143 -0.00539  7.52120e-02 |144 -0.00040  1.16243e-03
145  0.27490 -1.05406e-01 |146  0.18579  2.56684e-02 |

Initial statistics: 176 variables; iteration 0; function evaluation 0; phase 3
Function value 7.2871408e+03; maximum gradient component mag 1.3620e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42237  4.82916e-01 |  2  0.36981  1.13897e+00 |  3 -0.12907  3.11911e+00
  4 -0.00874  2.03189e+00 |  5 -0.70226 -2.40496e-02 |  6 -0.60685  2.31430e+00
  7  0.37647 -1.79315e+00 |  8 -0.18533 -2.08418e+00 |  9  0.03381 -1.69712e+00
 10 -0.60539  5.76741e-01 | 11 -0.62439  6.76160e-01 | 12 -0.09126 -1.59196e-02
 13 -0.01005  2.24220e-02 | 14 -0.01027  2.28503e-02 | 15 -0.01049  2.32721e-02
 16 -0.01070  2.36949e-02 | 17 -0.01091  2.41189e-02 | 18 -0.01112  2.45337e-02
 19 -0.01131  2.49483e-02 | 20 -0.01150  2.53660e-02 | 21 -0.01168  2.57786e-02
 22 -0.01185  2.61951e-02 | 23 -0.01200  2.66245e-02 | 24 -0.01214  2.70522e-02
 25 -0.01227  2.74890e-02 | 26 -0.01238  2.79301e-02 | 27 -0.01247  2.83735e-02
 28 -0.01254  2.88123e-02 | 29 -0.01259  2.92591e-02 | 30 -0.01261  2.97153e-02
 31 -0.01262  3.01926e-02 | 32 -0.01259  3.06977e-02 | 33 -0.01254  3.12257e-02
 34 -0.01246  3.17742e-02 | 35 -0.01236  3.23426e-02 | 36 -0.01221  3.29094e-02
 37 -0.01204  3.34741e-02 | 38 -0.01182  3.40282e-02 | 39 -0.01157  3.45742e-02
 40 -0.01127  3.51165e-02 | 41 -0.01094  3.56582e-02 | 42 -0.01058  3.62081e-02
