
Initial statistics: 136 variables; iteration 0; function evaluation 0; phase 1
Function value 7.3096801e+03; maximum gradient component mag -2.6498e+02
 82  0.00595 -1.40449e+00 | 83  0.00332 -2.02136e+00 | 84  0.00211 -2.48263e+00
 85  0.00287 -2.69063e+00 | 86  0.00358 -2.81269e+00 | 87  0.00544 -3.02684e+00
 88  0.00742 -3.41402e+00 | 89  0.01313 -3.34575e+00 | 90  0.01041 -4.03206e+00
 91  0.00812 -4.25464e+00 | 92  0.00769 -3.88026e+00 | 93 -0.00006 -3.38926e+00
 94  0.00487 -2.05879e+00 | 95  0.02914 -1.14034e+00 | 96  0.01668 -3.08835e+00
 97 -0.00434 -1.82327e+00 | 98  0.00893 -2.36085e+00 | 99  0.09161  1.16481e+00
100  0.02144 -1.18259e+00 |101 -0.01242  1.05194e+00 |102  0.00579  1.46223e+00
103  0.02048  2.09892e+00 |104  0.04060  3.96041e+00 |105  0.00867  5.84026e+00
106 -0.05507  6.35385e+00 |107 -0.07034  8.59774e+00 |108 -0.07160  9.70341e+00
109 -0.04319  5.61104e+00 |110  0.06380  7.75740e+00 |111  0.03444  6.05405e+00
112  0.01295  1.08424e+00 |113 -0.02611  2.19480e+00 |114 -0.06976 -1.83055e+00
115  0.00276 -2.20623e-01 |116 -0.00386 -1.36536e+00 |117 -0.00824 -5.58791e-01
118  0.03001  1.10379e+00 |119  0.08430  2.23493e+00 |120  0.02073  2.47047e+00
121  0.09003  7.33461e-01 |122  0.01683  1.40433e+00 |123  0.13463 -2.29187e+00
124 -0.00330  3.02432e-01 |125 -0.03405  2.02476e-01 |126 -0.04802 -1.47864e-01
127 -0.01259 -6.24303e-02 |128  0.07763 -5.72304e-01 |129  0.01285  1.21102e+00
130 -0.00577 -2.33831e+00 |131 -0.03303  1.00266e+00 |132 -0.01918  3.65757e-01
133 -0.00806 -5.33712e-01 |134  0.00000  4.32424e-11 |135  0.27120  4.35940e+00
136  0.18369  5.66358e+00 |

Initial statistics: 146 variables; iteration 0; function evaluation 0; phase 2
Function value 7.2679214e+03; maximum gradient component mag 3.2902e+01
Var    Value     Gradient |Var    Value     Gradient |Var    Value     Gradient
  1 -0.42489 -5.13795e-01 |  2  0.37110 -1.49761e+01 |  3 -0.12614 -9.83123e+00
  4 -0.01321 -4.04439e+00 |  5 -0.70915 -4.63404e-01 |  6 -0.60419  9.15763e+00
  7  0.37628  1.25916e+01 |  8 -0.18524  9.06425e+00 |  9  0.03399  1.16591e+01
 10 -0.60948 -1.37101e+00 | 11 -0.62338  3.29022e+01 | 12 -0.08851 -2.75227e+00
 13 -0.01035 -6.30760e-02 | 14 -0.01059 -6.88148e-02 | 15 -0.01082 -7.50616e-02
 16 -0.01106 -8.18136e-02 | 17 -0.01129 -8.90599e-02 | 18 -0.01152 -9.67737e-02
 19 -0.01175 -1.04916e-01 | 20 -0.01196 -1.13437e-01 | 21 -0.01217 -1.22268e-01
 22 -0.01236 -1.31333e-01 | 23 -0.01255 -1.40543e-01 | 24 -0.01272 -1.49801e-01
 25 -0.01287 -1.59004e-01 | 26 -0.01301 -1.68052e-01 | 27 -0.01312 -1.76835e-01
 28 -0.01322 -1.85238e-01 | 29 -0.01329 -1.93123e-01 | 30 -0.01333 -2.00339e-01
 31 -0.01335 -2.06739e-01 | 32 -0.01334 -2.12197e-01 | 33 -0.01329 -2.16609e-01
 34 -0.01322 -2.19909e-01 | 35 -0.01310 -2.22069e-01 | 36 -0.01295 -2.23104e-01
 37 -0.01276 -2.23061e-01 | 38 -0.01253 -2.22014e-01 | 39 -0.01226 -2.20046e-01
 40 -0.01195 -2.17240e-01 | 41 -0.01159 -2.13674e-01 | 42 -0.01119 -2.09395e-01
 43 -0.01076 -2.04406e-01 | 44 -0.01029 -1.98623e-01 | 45 -0.00980 -1.91853e-01
 46 -0.00929 -1.83791e-01 | 47 -0.00876 -1.74070e-01 | 48 -0.00822 -1.62337e-01
 49 -0.00769 -1.48348e-01 | 50 -0.00718 -1.32041e-01 | 51 -0.00669 -1.13569e-01
 52 -0.00624 -9.32923e-02 | 53 -0.00583 -7.17545e-02 | 54 -0.00547 -4.96978e-02
 55 -0.00514 -2.80871e-02 | 56 -0.00485 -8.11952e-03 | 57 -0.00457  8.76000e-03
 58 -0.00429  2.07828e-02 | 59 -0.00399  2.59152e-02 | 60 -0.00365  2.18844e-02
 61 -0.00324  6.63306e-03 | 62 -0.00274 -2.08143e-02 | 63 -0.00211 -5.83149e-02
 64 -0.00128 -9.74071e-02 | 65 -0.00014 -1.19445e-01 | 66  0.00147 -9.41283e-02
 67  0.00371  1.20516e-02 | 68  0.00666  2.07059e-01 | 69  0.01006  4.23566e-01
 70  0.01314  4.85783e-01 | 71  0.01492  1.92980e-01 | 72  0.01549 -3.90794e-01
 73  0.01715 -7.42022e-01 | 74  0.02051 -7.28910e-01 | 75  0.02330 -7.88632e-01
 76  0.02753 -4.96949e-01 | 77  0.03180 -1.06763e-01 | 78  0.03326 -1.09948e-01
 79  0.03470  1.50050e-02 | 80  0.03645  3.10128e-01 | 81  0.03670  4.36804e-01
 82  0.03485  2.77821e-01 | 83  0.03133 -9.16368e-02 | 84  0.02679 -5.47034e-01
 85  0.02103 -1.13362e+00 | 86  0.01684 -1.32643e+00 | 87  0.01293 -1.44148e+00
 88  0.00956 -1.52016e+00 | 89  0.01051 -8.23828e-01 | 90  0.01067 -4.97239e-01
 91  0.00878 -8.02814e-01 | 92  0.00595 -1.40449e+00 | 93  0.00332 -2.02136e+00
 94  0.00211 -2.48263e+00 | 95  0.00287 -2.69063e+00 | 96  0.00358 -2.81269e+00
 97  0.00544 -3.02684e+00 | 98  0.00742 -3.41402e+00 | 99  0.01313 -3.34575e+00
100  0.01041 -4.03206e+00 |101  0.00812 -4.25464e+00 |102  0.00769 -3.88026e+00
103 -0.00006 -3.38926e+00 |104  0.00487 -2.05879e+00 |105  0.02914 -1.14034e+00
106  0.01668 -3.08835e+00 |107 -0.00434 -1.82327e+00 |108  0.00893 -2.36085e+00
109  0.09161  1.16481e+00 |110  0.02144 -1.18259e+00 |111 -0.01242  1.05194e+00
112  0.00579  1.46223e+00 |113  0.02048  2.09892e+00 |114  0.04060  3.96041e+00
115  0.00867  5.84026e+00 |116 -0.05507  6.35385e+00 |117 -0.07034  8.59774e+00
118 -0.07160  9.70341e+00 |119 -0.04319  5.61104e+00 |120  0.06380  7.75740e+00
121  0.03444  6.05405e+00 |122  0.01295  1.08424e+00 |123 -0.02611  2.19480e+00
124 -0.06976 -1.83055e+00 |125  0.00276 -2.20623e-01 |126 -0.00386 -1.36536e+00
127 -0.00824 -5.58791e-01 |128  0.03001  1.10379e+00 |129  0.08430  2.23493e+00
130  0.02073  2.47047e+00 |131  0.09003  7.33461e-01 |132  0.01683  1.40433e+00
133  0.13463 -2.29187e+00 |134 -0.00330  3.02432e-01 |135 -0.03405  2.02476e-01
136 -0.04802 -1.47864e-01 |137 -0.01259 -6.24303e-02 |138  0.07763 -5.72304e-01
139  0.01285  1.21102e+00 |140 -0.00577 -2.33831e+00 |141 -0.03303  1.00266e+00
142 -0.01918  3.65757e-01 |143 -0.00806 -5.33712e-01 |144  0.00000  4.32424e-11
145  0.27120  4.35940e+00 |146  0.18369  5.66358e+00 |

Intermediate statistics: 146 variables; iteration 20; function evaluation 23; phase 2
Function value 7.2677446e+03; maximum gradient component mag 3.5015e+01
